goos: linux
goarch: amd64
pkg: github.com/tsenart/casei/arena
cpu: Intel(R) Xeon(R) CPU @ 2.60GHz
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    198497 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9801 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    151966 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         1.003 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    180033 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8265 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    168044 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         1.083 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    152869 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8597 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    151386 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8472 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    154648 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9773 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    175792 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8556 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    176423 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8938 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    184036 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8974 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    156566 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9990 x_vs_best
