goos: linux
goarch: amd64
pkg: github.com/tsenart/casei/arena
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    169298 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9644 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160810 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9599 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160567 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9610 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160384 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9625 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    159970 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9609 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160388 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9624 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    165969 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9601 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    161013 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9607 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    161382 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9611 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160778 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9592 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160615 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9588 x_vs_best
