name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,301.35ms,229.54us,2.58us,229.98us,4.24us,224.87us,257.37us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,100.53ms,51.05us,1.17us,51.79us,2.75us,49.55us,76.58us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,1000,150.57ms,91.14us,1.44us,91.58us,3.25us,87.50us,114.59us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,201.49ms,133.92us,163.00ns,135.26us,2.91us,133.44us,162.94us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,1000,250.83ms,135.60us,1.69us,137.49us,4.92us,132.44us,173.24us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,1570556,1000,401.09ms,332.14us,3.33us,332.29us,5.94us,323.45us,382.93us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,1000,201.61ms,156.54us,1.19us,158.60us,4.36us,154.06us,194.49us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,1000,351.08ms,289.72us,3.33us,289.24us,4.92us,283.76us,339.43us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,602.12ms,464.49us,5.03us,466.18us,8.63us,447.66us,510.24us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,150.60ms,99.06us,1.93us,99.99us,3.85us,95.99us,135.34us
